subject,unknown,bankssts,caudalanteriorcingulate,caudalmiddlefrontal,cuneus,entorhinal,fusiform,inferiorparietal,inferiortemporal,isthmuscingulate,lateraloccipital,lateralorbitofrontal,lingual,medialorbitofrontal,middletemporal,parahippocampal,paracentral,parsopercularis,parsorbitalis,parstriangularis,pericalcarine,postcentral,posteriorcingulate,precentral,precuneus,rostralanteriorcingulate,rostralmiddlefrontal,superiorfrontal,superiorparietal,superiortemporal,supramarginal,frontalpole,temporalpole,transversetemporal,insula
sub4,1630.1221,3106.5486,2182.9944,2500.9536,3520.2607,1101.671,2234.395,3707.0505,1867.9072,2272.9788,3843.427,1739.9757,2718.0049,1107.6595,2972.4167,1797.5779,2367.791,2746.8633,2742.9312,2920.1008,3488.45,2763.8499,2170.2913,2516.1907,2871.4055,1991.4856,3013.3188,2384.417,3414.8923,2674.0776,3336.2407,2260.5764,1072.9073,2451.207,2240.7476
sub4,329.1291,300.4863,102.0123,193.1394,490.5775,411.3098,722.6203,438.8049,1079.936,154.7511,729.3027,755.4174,686.9761,856.9509,527.8542,230.0964,191.4648,286.1066,320.0457,260.3145,612.2872,341.8908,147.9153,278.1298,338.1952,411.2596,324.3325,337.1198,383.3533,391.681,521.5008,472.7572,657.2017,219.9239,145.8263
sub4,661.324,2560.3171,1923.851,1496.2458,2598.4634,155.8752,533.2255,1443.9966,47.0564,1854.9895,693.5769,132.3342,1154.7366,0.0,1027.8531,1066.0168,1933.2125,2191.3289,1536.9777,2022.5634,2486.2148,907.5394,1824.8583,870.1389,2164.3154,1194.6262,713.8575,1442.9226,2070.4377,1790.2222,2260.8281,537.3377,58.8647,1987.7749,1335.3765
sub4,2413.6609,4007.4778,2553.6648,3040.2615,5004.2861,1768.2078,4132.979,4872.2656,4046.7363,2739.168,5369.6328,2792.1821,5064.5249,2900.5754,4055.6643,2171.99,2898.3613,3720.0142,3333.6343,3499.7717,4938.3457,3865.0237,2588.4619,3221.7349,3951.4602,2574.8569,3819.5063,3765.7051,4495.2827,4019.2544,4417.0522,2887.1147,2288.8579,3077.2761,2648.8232
sub4,1752.3369,1447.1606,629.8138,1544.0156,2405.8228,1612.3325,3599.7534,3428.269,3999.6799,884.1785,4676.0557,2659.8479,3909.7883,2900.5754,3027.811,1105.9731,965.1488,1528.6853,1796.6566,1477.2084,2452.1309,2957.4844,763.6036,2351.5959,1787.1448,1380.2307,3105.6489,2322.7825,2424.845,2229.0322,2156.2241,2349.7771,2229.9932,1089.5012,1313.4468
sub4,5752.4,994.9,651.5,2140.6,1224.6,467.5,2698.9,4065.4,2789.9,965.6,4562.0,2126.3,2765.0,1514.8,2695.5,756.4,1301.7,1494.5,555.5,1112.2,1170.2,3999.6,1177.7,4600.5,3430.7,680.5,4766.6,6624.5,4984.4,3389.6,3636.4,200.7,471.0,432.6,2019.8
sub4,1653.3838,3167.2722,2195.0537,2475.3481,3294.9521,947.8254,2220.5085,3541.9382,1716.7766,2164.7905,3819.1616,1588.587,2589.1868,1255.5344,2960.4465,1861.604,2330.2195,2688.1157,2508.4731,2895.1104,3366.2112,2804.7173,2155.8606,2566.5728,2787.7917,2056.9819,3066.5039,2478.1287,3289.9099,2859.4341,3232.5725,2446.9717,1127.6356,2491.8542,2302.9817
sub4,345.8137,310.3984,144.9675,158.1217,413.3332,474.7864,719.4426,344.2973,1026.9941,163.0023,675.3118,750.8494,514.2723,894.3699,608.8969,206.2363,192.514,265.5232,790.5346,317.6401,573.1486,378.2025,141.635,303.4427,294.5259,478.7318,412.9623,389.7844,319.3176,436.0696,435.5146,431.4082,566.0396,208.1904,152.4078
sub4,524.6323,2473.4065,1922.2352,1743.2996,2418.6243,123.0859,203.0204,1775.3711,0.0,1451.9706,764.2227,0.0,588.5029,0.0,1286.9109,1146.0104,1808.5767,2167.4023,386.3737,945.1134,2400.4614,1135.1226,1766.0739,1134.2554,1680.4886,1157.9438,1160.7277,1640.8253,1742.6575,1587.9022,2227.3569,1144.5896,171.3927,2040.2906,1364.4089
sub4,2361.6223,4084.0193,2665.4741,2926.6399,4785.8525,1941.9233,4044.3669,4521.1982,3759.7749,2552.9495,5249.6411,2800.6453,5077.7324,3126.0938,4214.9341,2255.3293,2844.8977,3337.1101,3871.5833,3554.3765,4924.9404,3791.519,2493.4868,3491.6702,3755.7466,2708.1384,4187.0317,3846.4268,4196.5493,4228.3623,4328.0044,3192.9924,2334.229,3080.6362,2789.8608
sub4,1836.99,1610.6128,743.2389,1183.3403,2367.2283,1818.8374,3841.3464,2745.8271,3759.7749,1100.9789,4485.4185,2800.6453,4489.2295,3126.0938,2928.0232,1109.319,1036.321,1169.7078,3485.2095,2609.2632,2524.479,2656.3965,727.413,2357.4148,2075.2578,1550.1946,3026.3042,2205.6016,2453.8918,2640.46,2100.6475,2048.4028,2162.8362,1040.3456,1425.4519
sub4,5836.6,876.9,709.3,1996.8,1273.5,403.9,2562.0,4790.5,2642.6,876.2,4459.7,2180.8,2782.8,1511.5,2984.7,772.6,1534.0,1281.0,680.1,1265.2,1289.5,3828.1,1182.7,4673.9,3442.7,547.1,4953.1,6351.2,5018.3,3207.0,3387.9,258.0,447.4,303.3,1856.7
sub5,1616.1195,3503.2954,2144.0115,2515.7632,3932.6741,467.0451,2188.5344,4534.5972,1909.4326,2368.6985,3398.0869,1580.999,2718.4602,1213.1179,2927.7429,1677.7522,2284.7817,2787.6951,2751.9568,2820.0754,3565.4238,2858.6077,2096.7065,2520.7917,3212.2141,2005.5171,3129.9634,2314.1211,3890.1226,2791.2964,3665.5657,2578.03,736.8954,2491.5049,2235.4568
sub5,393.6048,336.9169,120.4048,254.6293,579.8135,329.9097,970.7885,651.8648,1615.7771,219.7325,1058.673,735.5434,451.4102,844.7064,1192.9639,545.797,239.3155,265.4218,204.2163,229.6877,476.5364,315.891,200.2822,350.7473,478.9865,499.6493,341.7854,423.0302,693.6806,513.9664,612.0909,426.5331,393.7705,136.6098,170.5377
sub5,192.9128,2873.1431,1736.9808,1470.3872,2563.5901,0.0,42.9848,2082.2751,0.0,1547.2036,517.1812,29.0307,1596.2747,16.2433,313.5197,112.8139,1775.6434,2259.9185,2371.3611,2287.5513,1997.1819,1690.4526,1609.4591,798.6533,2165.9199,1076.9041,1070.5354,938.1317,2010.4736,1139.4813,2401.2593,1138.973,15.2823,2206.4067,971.4626
sub5,2448.6318,4730.6982,2476.8596,3324.7349,5137.748,1512.1097,4400.1636,5950.7964,4908.9214,2911.3953,5821.3135,2869.0649,4661.2437,3119.0566,5005.5215,2426.7473,2958.3433,3541.6943,3383.1692,3403.1023,4765.7358,3810.5784,2685.3774,3440.6775,4720.2515,2644.9902,4034.6719,3675.0923,5911.1216,4419.1216,5284.9014,3202.3694,1723.9862,2833.4409,2683.0872
sub5,2255.719,1857.5552,739.8788,1854.3477,2574.158,1512.1097,4357.1787,3868.5212,4908.9214,1364.1917,5304.1323,2840.0342,3064.969,3102.8135,4692.002,2313.9333,1182.6998,1281.7759,1011.8081,1115.551,2768.554,2120.1257,1075.9183,2642.0242,2554.3315,1568.0862,2964.1365,2736.9607,3900.6479,3279.6401,2883.6421,2063.3965,1708.7039,627.0342,1711.6245
sub5,5752.4,994.9,651.5,2140.6,1224.6,467.5,2698.9,4065.4,2789.9,965.6,4562.0,2126.3,2765.0,1514.8,2695.5,756.4,1301.7,1494.5,555.5,1112.2,1170.2,3999.6,1177.7,4600.5,3430.7,680.5,4766.6,6624.5,4984.4,3389.6,3636.4,200.7,471.0,432.6,2019.8
sub5,1658.0249,3379.7173,2231.2429,2572.4468,3604.5869,497.3589,2015.813,3984.1057,1588.4061,2192.856,3028.4727,1779.1345,2531.1699,1545.5043,2687.3457,1741.6091,2199.4915,2808.4778,2835.4966,2833.4268,3290.8191,2999.3257,2078.856,2622.7212,3000.772,2137.6882,3127.5039,2454.397,3667.2537,2911.1846,3639.6511,2660.1199,1185.6029,2617.0911,2353.5142
sub5,383.7145,320.3658,143.0249,154.4258,544.1501,327.6497,1061.7037,561.539,1532.9987,204.047,989.9796,651.1036,390.4834,871.1404,1311.8386,473.5733,250.0439,303.5549,321.2529,238.4796,454.3111,474.8215,153.9139,402.944,444.1587,521.1572,386.7045,452.974,556.5188,514.1851,586.762,462.4341,557.5196,192.5314,143.9359
sub5,185.1337,2763.377,1910.3656,2148.6807,2294.2412,0.0,0.0,1121.0989,0.0,1318.3475,166.6083,139.1743,1349.9409,49.5372,4.8684,260.996,861.856,2258.8445,2202.6362,2392.2871,1651.8611,861.856,1685.4366,1315.6268,1742.4276,1154.6982,895.6291,995.9296,2237.6401,1637.084,2325.4485,1343.0292,-33.9437,2341.082,1573.4963
sub5,2475.9758,4252.1333,2617.8638,3041.8113,4996.1201,1577.7841,3910.9202,5251.7671,4501.1831,2681.6377,4891.6938,2773.0203,4089.6562,3281.0151,4740.7412,2421.3169,2703.947,3557.8291,3655.1997,3480.2554,4765.2905,4258.5562,2533.1335,3836.9653,4383.2339,2837.0271,4140.5718,4125.1367,5221.478,4435.7485,5085.5083,3438.0481,2125.7629,3168.2717,2803.6362
sub5,2290.842,1488.7563,707.4982,893.1306,2701.8789,1577.7841,3910.9202,4130.668,4501.1831,1363.2902,4725.0854,2633.8459,2739.7153,3231.478,4735.873,2160.3208,1842.0911,1298.9846,1452.5635,1087.9683,3113.4294,3396.7002,847.6969,2521.3384,2640.8062,1682.3289,3244.9426,3129.207,2983.8379,2798.6646,2760.0598,2095.019,2159.7065,827.1897,1230.1399
sub5,5836.6,876.9,709.3,1996.8,1273.5,403.9,2562.0,4790.5,2642.6,876.2,4459.7,2180.8,2782.8,1511.5,2984.7,772.6,1534.0,1281.0,680.1,1265.2,1289.5,3828.1,1182.7,4673.9,3442.7,547.1,4953.1,6351.2,5018.3,3207.0,3387.9,258.0,447.4,303.3,1856.7
